15946589.T3.T14	Imatinib (STI571, @CHEMICAL$, Glivec; Novartis Pharmaceuticals, East Hanover, NJ), a selective inhibitor of KIT, ABL, BCR-@GENE$, PDGFRA, and PDGFRB, represents a new paradigm of targeted cancer therapy and has revolutionized the treatment of patients with chronic myelogenous leukemia and GISTs.	CPR:4
12200198.T3.T27	Long-term administration of @CHEMICAL$ to rats increased the activities of antioxidative enzymes superoxide dismutase (@GENE$) and catalase in the brain regions containing dopamine neurons.	CPR:3
12181285.T25.T47	The ensuing radioactive outflow from these cultures was enhanced by desipramine and reserpine, but reduced (in the presence of desipramine) by the @CHEMICAL$ inhibitors cyanine 863, oestradiol and @GENE$.	CPR:4
12105857.T12.T28	@CHEMICAL$ has been shown to suppress @GENE$ production from macrophages.	CPR:4
23396144.T5.T18	In HaCaT cells, buthanol and ethylacetate fractions of 80% @CHEMICAL$ C. fragile extract (CFB or CFE) and a single compound, clerosterol (CLS) isolated from CFE attenuated UVB (60mJ/cm(2))-induced cytotoxicity and reduced expression of pro-inflammatory proteins including cyclooxygenase-2 (@GENE$), inducible nitric oxide synthase (iNOS), and tumor necrosis factor-a (TNF- a).	CPR:4
23432124.T11.T16	Racemic IKM-159 was crystallized with the ligand-binding domain of GluA2, and the structure revealed a complex containing (2R)-IKM-159 at the glutamate binding site. @CHEMICAL$ locks the GluA2 in an open form, consistent with a pharmacological action as competitive antagonist of @GENE$.	CPR:6
23639192.T3.T19	Moreover, we also demonstrate that @CHEMICAL$ functions at least partially through activation of @GENE$/ERK and PI3K/Akt signaling.	CPR:3
16599255.T6.T16	Some of the new compounds proved in a slightly modified colorimetric Ellmann's assay to be potent inhibitors of acetylcholinesterase and of @CHEMICAL$ which is another catalytic enzyme hydrolysing @GENE$.	CPR:9
19149483.T28.T47	The following @CHEMICAL$ blockers for treatment of various human tumors are in clinical development: Lapatinib (Lapatinib ditosylate, Tykerb, GW-572016), Canertinib (CI-1033), Zactima (ZD6474), Vatalanib (PTK787/ZK 222584), Sorafenib (@GENE$, Nexavar), and Leflunomide (SU101, Arava).	CPR:4
23353701.T8.T32	Treatment with @CHEMICAL$ (AdOx), an inhibitor of transmethylation-suppressive adenosylhomocysteine (SAH) hydrolase (@GENE$), enhanced the level of SAH and effectively blocked the proliferation, migration, and invasion of cancer cells; the treatment also induced the differentiation of C6 glioma cells and suppressed the neovascular genesis of eggs in a dose-dependent manner.	CPR:4
15939622.T17.T22	@CHEMICAL$ and COX-2 inhibition in horse blood by phenylbutazone, flunixin, carprofen and @GENE$: an in vitro analysis.	CPR:4
16248990.T11.T26	This effect was reverted in the presence of @CHEMICAL$ (ATR; 0.1 microM), which blocks the pre-synaptic @GENE$.	CPR:4
21926191.T8.T31	@CHEMICAL$ (XL184), a novel @GENE$ and VEGFR2 inhibitor, simultaneously suppresses metastasis, angiogenesis, and tumor growth.	CPR:4
23567241.T12.T32	Most @CHEMICAL$ showing estrogenic activity exhibited @GENE$-agonistic activity at lower concentrations than those inducing ERa-agonistic activity.	CPR:5
15498586.T3.T16	Treatment of both differentiating adipocytes and fully differentiated adipocytes with @CHEMICAL$ caused a dose-dependent increase in mRNA levels for PPARgamma target genes such as aP2 and @GENE$.	CPR:3
17082235.T12.T35	Among the measured compounds, gliquidone and glipizide (two @CHEMICAL$), as well as nateglinide (a glinide), exhibit @GENE$ agonistic activity at concentrations comparable with those reached under pharmacological treatment.	CPR:5
3917545.T19.T42	Most reducing cofactors for the peroxidase protect PHS and @CHEMICAL$ from inactivation by @GENE$.	CPR:4
22406476.T26.T31	RESULTS: @CHEMICAL$ reduced mTOR signaling in CRC cells by inhibiting the @GENE$ effectors S6K1 and 4E-BP1.	CPR:4
12085361.T4.T31	Approximate K(i) values were 2 micromol/L for OATP-C, 3 micromol/L for OATP8, 3 micromol/L for OATP-B and 11 micromol/L for OATP-A. Rifampicin (10 micromol/L) inhibited OATP8-mediated BSP uptake by 50%, whereas inhibition of OATP-C-, @CHEMICAL$-, and OATP-A-mediated @GENE$ transport was below 15%. 100 micromol/L rifampicin inhibited OATP-C- and OATP8-, OATP-B- and OATP-A-mediated BSP uptake by 66%, 96%, 25%, and 49%, respectively.	CPR:9
9313928.T11.T77	@CHEMICAL$, a putative @GENE$ agonist, and misoprostol, a putative EP2/EP3 agonist, also bound to this receptor with Ki values of 120 nM. 5.	CPR:5
17207582.T21.T52	EGTA and 1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetra acetic acid tetrakis (BAPTA), two Ca2+ chelators, but not @CHEMICAL$, an @GENE$ blocker, prevented GRIP1 degradation.	CPR:4
12046981.T10.T20	Olopatadine hydrochloride (@CHEMICAL$, 11-[(Z)-3-(dimethylamino)propylidene]-6,11-dihydrodibenz[b,e]oxepin-2-acetic acid monohydrochloride) is a novel antiallergic/@GENE$ antagonistic drug that was synthesized and evaluated in our laboratories.	CPR:6
14596599.T1.T37	@CHEMICAL$ (L-serine dehydratase, EC 4.3.1.17) catalyzes the pyridoxal 5'-phosphate (PLP)-dependent dehydration of @GENE$ to yield pyruvate and ammonia.	CPR:9
1712335.T1.T31	Thus, @CHEMICAL$ blocks both beta 1 and beta 2 adrenoceptors at antihypertensive doses, with modest selectivity being observed for the @GENE$ subtype.	CPR:4
12710892.T3.T19	Agents which have recently been shown to block @CHEMICAL$ translation by regulating calcium levels are the unsaturated essential fatty acid, eicosapentaenoic acid (EPA), the antidiabetic thiazolidinediones, and the antifungal agent, @GENE$.	CPR:4
16609060.T2.T12	For some, pharmacologic inhibitors are available, including @CHEMICAL$ for @GENE$, farnesyltransferase inhibitors for NRAS, PD-0325901 for mitogen-activated protein kinase/extracellular signal-regulated kinase kinase, rapamycin analogues for mammalian target of rapamycin, and agents that inhibit either vascular endothelial growth factor or its receptors.	CPR:4
17660958.T3.T12	The next large phase III adjuvant trial for this subset of breast cancer is an international collaboration designed to evaluate the added or alternative benefit of an oral tyrosine kinase inhibitor targeting HER2/neu as well as the @CHEMICAL$ (EGFR), @GENE$.	CPR:4
23462233.T10.T30	Possible @CHEMICAL$ involvement in @GENE$ metabolism in insects was evaluated using AOX-expressing and AOX-deficient Drosophila, but no differences were found in IMI nitroreduction or sensitivity between the two strains.	CPR:9
14751502.T11.T40	Effects of the @CHEMICAL$/HER2 kinase inhibitor @GENE$ on EGFR- and HER2-overexpressing breast cancer cell line proliferation, radiosensitization, and resistance.	CPR:4
15494548.T20.T41	Unique binding interactions of @CHEMICAL$ with COX-2 translate into a fast rate of inactivation of @GENE$ (110,000 M/s compared with 7000 M/s for rofecoxib and 80 M/s for etoricoxib).	CPR:4
15184278.T19.T34	BACKGROUND: To assess the sensitivity of biochemical, physiological, and pharmacological markers of peripheral norepinephrine (NE) transporter (NET) function, we chronically antagonized @CHEMICAL$ by a range of doses of duloxetine [(+)-N-methyl-3-(1-naphthalenyloxy)-2 thiophenepropanamine], which blocks the @GENE$ reuptake process.	CPR:9
23527529.T2.T12	@CHEMICAL$ is both a substrate and inhibitor (IC50 = 1.9 mM) of @GENE$. 6.	CPR:9
19149483.T15.T46	Others kinase inhibitors used recently in cancer therapy include Dasatinib (BMS-354825) specific for ABL non-receptor cytoplasmic kinase, Gefitinib (Iressa), Erlotinib (OSI-774, Tarceva) and Sunitinib (SU 11248, Sutent) specific for VEGF receptor kinase, AMN107 (Nilotinib) and INNO-406 (@CHEMICAL$) specific for @GENE$ kinase.	CPR:4
1590750.T3.T21	The results suggest that individuals with high Vmax beta 2-ADH and deficient in low-Km mitochondrial @CHEMICAL$, accounting for approximately 45% of the Chinese population, may end up with @GENE$ accumulation during alcohol consumption, rendering them vulnerable to tissue injury caused by this highly reactive and toxic metabolite.	CPR:9
23081912.T12.T36	As these regulatory motifs mediate regulation of target genes by @CHEMICAL$ agonists including TCDD and @GENE$, we have systematically investigated the effect of both contaminants on functional ABCG2 transport activity in primary bovine mammary epithelial cells.	CPR:5
17224860.T11.T27	CONCLUSION: In postmenopausal women, isolated @CHEMICAL$ treatment does not affect ABCA1-dependent cholesterol efflux potential from macrophages but increases circulating @GENE$ level, which could provide beneficial vascular effects.	CPR:3
25802231.T1.T14	@CHEMICAL$ (Imbruvica(R)) is a first-in-class, potent, orally administered, covalent inhibitor of Bruton's tyrosine kinase (BTK) that inhibits B-cell antigen receptor signalling downstream of @GENE$.	CPR:4
23111283.T11.T20	@CHEMICAL$ induces apoptosis through suppression of @GENE$ signaling pathway in HL-60 cells.	CPR:4
12636181.T2.T10	Butyrylcholinesterase: an important new target in Alzheimer's disease therapy. Acetylcholinesterase (@CHEMICAL$) predominates in the healthy brain, with butyrylcholinesterase (BuChE) considered to play a minor role in regulating brain @GENE$ (ACh) levels.	CPR:9
23230131.T15.T39	All three @CHEMICAL$ proteins showed similar K(m) and V(max) for Ara-C and @GENE$ deamination, except for CDA70Thr, which had a 2.5-fold lower K(m) and 6-fold lower V(max) for Ara-C deamination.	CPR:9
16781459.T19.T57	Collectively, our results suggest that H(2)S can inhibit NO production and NF-kappaB activation in LPS-stimulated macrophages through a mechanism that involves the action of @CHEMICAL$/@GENE$.	CPR:9
17510465.T9.T28	Modulation of the function of CD36 (CD36-/- mice), p38(MAPK) (SB203580), @CHEMICAL$ (@GENE$), and glycoprotein Ib alpha (Nk-protease, 6D1 antibody) induced approximately 50% inhibition.	CPR:4
14596599.T2.T37	@CHEMICAL$ (L-serine dehydratase, EC 4.3.1.17) catalyzes the pyridoxal 5'-phosphate (PLP)-dependent dehydration of L-serine to yield @GENE$ and ammonia.	CPR:9
23449197.T1.T10	Discovery of 7-methoxy-6-[4-(4-methyl-1,3-thiazol-2-yl)-1H-imidazol-5-yl]-1,3-benzothiazole (TASP0382088): a potent and selective transforming growth factor-b type I receptor inhibitor as a topical drug for alopecia. @CHEMICAL$ 11 (TASP0382088) was synthesized and evaluated as transforming growth factor-b (TGF-b) type I receptor (also known as @GENE$ or ALK5) inhibitor.	CPR:4
11350861.T13.T36	In guinea-pig isolated colon, @CHEMICAL$ produced a rightward shift of the concentration-response curves of 2-methyl-5HT, a @GENE$ agonist (pA2 value of 7.04).	CPR:6
17653133.T2.T18	We present a new study that optimizes the Prescott-Jones colorimetric assay to measure @CHEMICAL$-dependent @GENE$ generation in kidney homogenates.	CPR:9
2120879.T7.T18	Removing medium Ca2+, blocking Ca2+ channels with 50 mumol/l verapamil, or inhibiting @CHEMICAL$ activation with 20 mumol/l trifluoperazine, 10 mumol/l @GENE$ or 10 mumol/l pimozide almost completely blocked hyposmolarity-induced secretion.	CPR:4
17459764.T14.T34	We demonstrate that only treatment of HaCaT with @CHEMICAL$ and EPA or a PPARgamma ligand (roziglitazone), induced @GENE$ expression (protein and mRNA).	CPR:3
6311012.T16.T41	This agent acts synergistically with many penicillins, such as ampicillin, carbenicillin, and the like, and with @CHEMICAL$, cefazolin, cefamandole, or cefoxitin to inhibit gram-negative bacilli, probably on the basis of binding to different proteins needed for the production of the @GENE$ of the bacterial cell wall.	CPR:3
23416003.T3.T11	Design and synthesis of @CHEMICAL$ as potent @GENE$-FVIIa inhibitors.	CPR:4
12636181.T3.T10	Butyrylcholinesterase: an important new target in Alzheimer's disease therapy. Acetylcholinesterase (@CHEMICAL$) predominates in the healthy brain, with butyrylcholinesterase (BuChE) considered to play a minor role in regulating brain acetylcholine (@GENE$) levels.	CPR:9
22967140.T9.T29	Adult ovariectomised rats were divided into six groups and injected either with vehicle or a single dose of oestradiol, a selective @CHEMICAL$ agonist-PPT [@GENE$], a selective ERb agonist-DPN [2,3-bis(4-hydroxyphenyl)-propionitrile], a selective ERa antagonist-MPP [1,3-bis(4-hydroxyphenyl)-4-methyl-5-[4-(2-piperidinylethoxy)phenol]-1H-pyrazole dihydrochloride] or a selective ERb antagonist-PHTPP (4-[2-phenyl-5,7-bis(trifluoromethyl)pyrazolo[1,5-a]pyrimidin-3-yl]phenol).	CPR:5
23337567.T2.T10	Additionally, these effects of @CHEMICAL$ on g-H2AX, @GENE$, Chk2, p53, and p21(waf1/cip1) were reduced by an ATM inhibitor.	CPR:3
10755406.T7.T26	This activity, like @CHEMICAL$, was inhibited by @GENE$ and immunologically related to NQO1.	CPR:4
